,code,name,gakumen
0,1332,日本水産,50.0
1,1333,マルハニチロ,500.0
2,1605,国際石油開発帝石,125.0
3,1721,コムシスホールディングス,50.0
4,1801,大成建設,250.0
5,1802,大林組,50.0
6,1803,清水建設,50.0
7,1808,長谷工コーポレーション,250.0
8,1812,鹿島建設,100.0
9,1925,大和ハウス工業,50.0
10,1928,積水ハウス,50.0
11,1963,日揮,50.0
12,2002,日清製粉グループ本社,50.0
13,2269,明治ホールディングス,250.0
14,2282,日本ハム,100.0
15,2432,ディー・エヌ・エー,166.666666666667
16,2501,サッポロホールディングス,250.0
17,2502,アサヒグループホールディングス,50.0
18,2503,キリンホールディングス,50.0
19,2531,宝ホールディングス,50.0
20,2768,双日,500.0
21,2801,キッコーマン,50.0
22,2802,味の素,50.0
23,2871,ニチレイ,100.0
24,2914,日本たばこ産業,50.0
25,3086,Ｊ．フロントリテイリング,100.0
26,3099,三越伊勢丹ホールディングス,50.0
27,3101,東洋紡,500.0
28,3103,ユニチカ,500.0
29,3105,日清紡ホールディングス,50.0
30,3289,東急不動産ホールディングス,50.0
31,3382,セブン＆アイ・ホールディングス,50.0
32,3401,帝人,250.0
33,3402,東レ,50.0
34,3405,クラレ,50.0
35,3407,旭化成,50.0
36,3436,ＳＵＭＣＯ,500.0
37,3861,王子ホールディングス,50.0
38,3863,日本製紙,500.0
39,4004,昭和電工,500.0
40,4005,住友化学,50.0
41,4021,日産化学,50.0
42,4042,東ソー,100.0
43,4043,トクヤマ,250.0
44,4061,デンカ,250.0
45,4063,信越化学工業,50.0
46,4151,協和発酵キリン,50.0
47,4183,三井化学,250.0
48,4188,三菱ケミカルホールディングス,100.0
49,4208,宇部興産,500.0
50,4272,日本化薬,50.0
51,4324,電通,50.0
52,4452,花王,50.0
53,4502,武田薬品工業,50.0
54,4503,アステラス製薬,10.0
55,4506,大日本住友製薬,50.0
56,4507,塩野義製薬,50.0
57,4519,中外製薬,50.0
58,4523,エーザイ,50.0
59,4543,テルモ,25.0
60,4568,第一三共,50.0
61,4578,大塚ホールディングス,50.0
62,4631,ＤＩＣ,500.0
63,4689,ヤフー,125.0
64,4704,トレンドマイクロ,50.0
65,4751,サイバーエージェント,250.0
66,4755,楽天,50.0
67,4901,富士フイルムホールディングス,50.0
68,4902,コニカミノルタ,50.0
69,4911,資生堂,50.0
70,5002,昭和シェル石油,50.0
71,5020,ＪＸＴＧホールディングス,50.0
72,5101,横浜ゴム,100.0
73,5108,ブリヂストン,50.0
74,5201,ＡＧＣ,250.0
75,5202,日本板硝子,500.0
76,5214,日本電気硝子,166.666666666667
77,5232,住友大阪セメント,500.0
78,5233,太平洋セメント,500.0
79,5301,東海カーボン,50.0
80,5332,ＴＯＴＯ,100.0
81,5333,日本碍子,50.0
82,5401,新日鐵住金,500.0
83,5406,神戸製鋼所,500.0
84,5411,ジェイエフイーホールディングス,500.0
85,5541,大平洋金属,500.0
86,5631,日本製鋼所,250.0
87,5703,日本軽金属ホールディングス,50.0
88,5706,三井金属鉱業,500.0
89,5707,東邦亜鉛,500.0
90,5711,三菱マテリアル,500.0
91,5713,住友金属鉱山,100.0
92,5714,ＤＯＷＡホールディングス,250.0
93,5801,古河電気工業,500.0
94,5802,住友電気工業,50.0
95,5803,フジクラ,50.0
96,5901,東洋製罐グループホールディングス,50.0
97,6098,リクルートホールディングス,16.6666666666667
98,6103,オークマ,250.0
99,6113,アマダホールディングス,50.0
100,6178,日本郵政,50.0
101,6301,小松製作所,50.0
102,6302,住友重機械工業,250.0
103,6305,日立建機,50.0
104,6326,クボタ,50.0
105,6361,荏原製作所,250.0
106,6366,千代田化工建設,50.0
107,6367,ダイキン工業,50.0
108,6471,日本精工,50.0
109,6472,ＮＴＮ,50.0
110,6473,ジェイテクト,50.0
111,6479,ミネベアミツミ,50.0
112,6501,日立製作所,250.0
113,6503,三菱電機,50.0
114,6504,富士電機,250.0
115,6506,安川電機,50.0
116,6674,ジーエス・ユアサコーポレーション,250.0
117,6701,日本電気,500.0
118,6702,富士通,500.0
119,6703,沖電気工業,500.0
120,6724,セイコーエプソン,25.0
121,6752,パナソニック,50.0
122,6758,ソニー,50.0
123,6762,ＴＤＫ,50.0
124,6770,アルプスアルパイン,50.0
125,6773,パイオニア,50.0
126,6841,横河電機,50.0
127,6857,アドバンテスト,25.0
128,6902,デンソー,50.0
129,6952,カシオ計算機,50.0
130,6954,ファナック,50.0
131,6971,京セラ,25.0
132,6976,太陽誘電,50.0
133,6988,日東電工,50.0
134,7003,三井Ｅ＆Ｓホールディングス,500.0
135,7004,日立造船,250.0
136,7011,三菱重工業,500.0
137,7012,川崎重工業,500.0
138,7013,ＩＨＩ,500.0
139,7186,コンコルディア・フィナンシャルグループ,50.0
140,7201,日産自動車,50.0
141,7202,いすゞ自動車,100.0
142,7203,トヨタ自動車,50.0
143,7205,日野自動車,50.0
144,7211,三菱自動車工業,500.0
145,7261,マツダ,250.0
146,7267,本田技研工業,25.0
147,7269,スズキ,50.0
148,7270,ＳＵＢＡＲＵ,50.0
149,7272,ヤマハ発動機,50.0
150,7731,ニコン,50.0
151,7733,オリンパス,50.0
152,7735,ＳＣＲＥＥＮホールディングス,250.0
153,7751,キヤノン,33.3333333333333
154,7752,リコー,50.0
155,7762,シチズン時計,50.0
156,7911,凸版印刷,100.0
157,7912,大日本印刷,100.0
158,7951,ヤマハ,50.0
159,8001,伊藤忠商事,50.0
160,8002,丸紅,50.0
161,8015,豊田通商,50.0
162,8028,ユニー・ファミリーマートホールディングス,50.0
163,8031,三井物産,50.0
164,8035,東京エレクトロン,50.0
165,8053,住友商事,50.0
166,8058,三菱商事,50.0
167,8233,高島屋,100.0
168,8252,丸井グループ,50.0
169,8253,クレディセゾン,50.0
170,8267,イオン,50.0
171,8303,新生銀行,500.0
172,8304,あおぞら銀行,500.0
173,8306,三菱ＵＦＪフィナンシャル・グループ,50.0
174,8308,りそなホールディングス,500.0
175,8309,三井住友トラスト・ホールディングス,500.0
176,8316,三井住友フィナンシャルグループ,500.0
177,8331,千葉銀行,50.0
178,8354,ふくおかフィナンシャルグループ,250.0
179,8355,静岡銀行,50.0
180,8411,みずほフィナンシャルグループ,50.0
181,8601,大和証券グループ本社,50.0
182,8604,野村ホールディングス,50.0
183,8628,松井証券,50.0
184,8630,ＳＯＭＰＯホールディングス,200.0
185,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,166.666666666667
186,8729,ソニーフィナンシャルホールディングス,250.0
187,8750,第一生命ホールディングス,500.0
188,8766,東京海上ホールディングス,100.0
189,8795,Ｔ＆Ｄホールディングス,250.0
190,8801,三井不動産,50.0
191,8802,三菱地所,50.0
192,8804,東京建物,100.0
193,8830,住友不動産,50.0
194,9001,東武鉄道,250.0
195,9005,東京急行電鉄,100.0
196,9007,小田急電鉄,100.0
197,9008,京王電鉄,250.0
198,9009,京成電鉄,100.0
199,9020,東日本旅客鉄道,500.0
200,9021,西日本旅客鉄道,500.0
201,9022,東海旅客鉄道,500.0
202,9062,日本通運,500.0
203,9064,ヤマトホールディングス,50.0
204,9101,日本郵船,500.0
205,9104,商船三井,500.0
206,9107,川崎汽船,500.0
207,9202,ＡＮＡホールディングス,500.0
208,9301,三菱倉庫,100.0
209,9412,スカパーＪＳＡＴホールディングス,500.0
210,9432,日本電信電話,250.0
211,9433,ＫＤＤＩ,8.33333333333333
212,9437,ＮＴＴドコモ,500.0
213,9501,東京電力ホールディングス,500.0
214,9502,中部電力,500.0
215,9503,関西電力,500.0
216,9531,東京瓦斯,250.0
217,9532,大阪瓦斯,250.0
218,9602,東宝,500.0
219,9613,エヌ・ティ・ティ・データ,10.0
220,9681,東京ドーム,100.0
